,median,average,l,u,ll,uu,true,delta,p12,p23,m1,m2,m3,bnn_average,bnn_median,bnn_l,bnn_u,bnn_ll,bnn_uu,petitf,pperiodetitf
0,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,2.00057298025935,0.9628812744433161,0.9628812744433158,3.0035e-06,3.0035e-06,3.0035e-06,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.1826384671593567,0.8960248795132284,1.0407868760453303
1,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,2.0044161351770136,0.9628113035516968,0.9628113035516968,3.0035e-06,3.0035e-06,3.0035e-06,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,1.1416798594804471,0.9010846626003377,1.0458026009033092
2,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,2.006973666291758,0.962764742328359,0.9627647423283593,3.0035e-06,3.0035e-06,3.0035e-06,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,0.9044468014576313,1.0491352798362634
3,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,2.0076457928030225,0.9627525062758274,0.9627525062758269,3.0035e-06,3.0035e-06,3.0035e-06,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9485552611259904,0.9053297158900128,1.0500104334820581
4,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,2.0114802322086653,0.9626827033160478,0.9626827033160482,3.0035e-06,3.0035e-06,3.0035e-06,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.7773992197458212,0.9103614047724954,1.054997698876185
5,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,2.013621896301551,0.9626437181863825,0.9626437181863825,3.0035e-06,3.0035e-06,3.0035e-06,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.13688097659868137,0.9131678703327671,1.057779242039326
6,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,2.0153915397298787,0.962611506202655,0.9626115062026548,3.0035e-06,3.0035e-06,3.0035e-06,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,1.051870186890333,0.9154847303355577,1.0600754489760738
7,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,2.015949807654823,0.962601344536985,0.962601344536985,3.0035e-06,3.0035e-06,3.0035e-06,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,1.035930985788886,0.916215233695627,1.0607994256768878
8,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,2.0176723195747215,0.9625699918204541,0.9625699918204544,3.0035e-06,3.0035e-06,3.0035e-06,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,-0.1183915285046248,0.9184679798749179,1.0630320000601574
9,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,2.0185452264100396,0.9625541037825408,0.9625541037825406,3.0035e-06,3.0035e-06,3.0035e-06,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.8547363250950758,0.9196089043532027,1.0641626825345052
10,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,2.019811526729362,0.9625310559345799,0.9625310559345795,3.0035e-06,3.0035e-06,3.0035e-06,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.16791521033865026,0.9212631910110822,1.0658020878730057
11,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,2.0213567875377105,0.9625029314865717,0.9625029314865714,3.0035e-06,3.0035e-06,3.0035e-06,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,1.1368809765986785,0.9232805981299789,1.0678012975731848
12,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,2.024683885608038,0.9624423795574941,0.9624423795574941,3.0035e-06,3.0035e-06,3.0035e-06,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.12049056041051193,0.9276193900963968,1.0721007673463172
13,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,2.0266835583926177,0.9624059880848159,0.9624059880848159,3.0035e-06,3.0035e-06,3.0035e-06,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,-0.21530154151268127,0.9302239166207507,1.0746815671030345
14,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,2.0282756637779995,0.9623770147901265,0.9623770147901267,3.0035e-06,3.0035e-06,3.0035e-06,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.7662150527933075,0.9322958822893357,1.0767345918246822
15,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,2.0293753437718536,0.9623570032074319,0.9623570032074318,3.0035e-06,3.0035e-06,3.0035e-06,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.8757789278346533,0.9337261199605055,1.0781517208576252
